Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,RSI,Open-Close,High-Low,Volume-Change,Daily-Return,Price-Range,Price-Volatility,Volume-Momentum,Return-Momentum,Return-MA
01-01-2015,438.9888306,441.8120728,437.6762695,439.781311,417.9888916,1367720,,,,,4.135803223,,,4.135803223,,,,
02-01-2015,439.8803711,443.8180542,437.9981995,438.6173401,416.8826294,3383424,,,,0.099060059,5.819854736,1.473769485,-0.002646704,5.819854736,,,,
05-01-2015,438.3449402,441.2672119,432.946106,433.8128967,412.3162537,4662967,,,,-0.272399902,8.321105957,0.378179915,-0.01095361,8.321105957,,,,
06-01-2015,430.9153442,432.4012756,412.09375,414.1245117,393.6034546,8596809,,,,-2.89755249,20.30752563,0.843634965,-0.045384508,20.30752563,,,,
07-01-2015,414.619812,425.3679504,414.570282,423.1390686,402.1713257,9562421,,,,0.495300293,10.79766846,0.112322142,0.021767745,10.79766846,,,,
08-01-2015,426.0118408,427.3986816,416.1304932,417.0715637,396.40448,9171029,,,,2.872772217,11.26818848,-0.04093022,-0.014339269,11.26818848,,,,
09-01-2015,420.2167664,426.9529114,418.5327148,426.1109009,404.9959412,6180769,,,,3.145202637,8.420196533,-0.326055015,0.021673348,8.420196533,,,,
12-01-2015,426.2099609,426.4576111,416.8486938,421.1578369,400.2882996,4661200,,,,0.099060059,9.608917236,-0.245854359,-0.011623885,9.608917236,,,,
13-01-2015,422.4951782,423.4609985,416.3038635,417.6164246,396.9223938,4591328,,,,1.337341309,7.15713501,-0.014990131,-0.008408753,7.15713501,,,,
14-01-2015,417.5421143,419.5233459,411.6975098,413.5549011,393.0621033,5251887,,,,-0.074310303,7.825836182,0.143871011,-0.009725488,7.825836182,,57429554,,
15-01-2015,416.0562134,431.4601746,416.0562134,428.0673523,406.8553772,7811847,,,,2.501312256,15.40396118,0.48743623,0.035091958,15.40396118,,63873681,-0.024549166,-0.002454917
16-01-2015,425.9623108,433.3918762,422.0246277,430.7667542,409.4211121,8831705,,,,-2.105041504,11.36724854,0.130552736,0.006306021,11.36724854,,69321962,-0.015596441,-0.001559644
19-01-2015,431.0144043,438.8402405,425.3431702,435.6950378,414.1051636,6156390,,,,0.247650146,13.49707031,-0.30292169,0.011440724,13.49707031,,70815385,0.006797894,0.000679789
20-01-2015,436.6113586,448.5234375,435.2987976,447.2851868,425.1209412,6166247,,,53.90564517,0.916320801,13.22463989,0.001601101,0.026601517,13.22463989,,68384823,0.078783919,0.007878392
21-01-2015,448.2510376,451.42099,441.8368225,449.1177979,426.8627625,7884400,,,54.76852089,0.96585083,9.58416748,0.278638368,0.004097187,9.58416748,,66706802,0.061113361,0.006111336
22-01-2015,448.3253174,449.3406982,435.6207581,437.7257996,416.0352783,10947527,,,49.58772739,-0.792480469,13.71994019,0.388504769,-0.025365279,13.71994019,,68483300,0.050087351,0.005008735
23-01-2015,440.8214417,444.684845,434.3824768,439.2860107,417.5181274,8344145,,,52.6092046,3.09564209,10.30236816,-0.237805488,0.003564357,10.30236816,,70646676,0.03197836,0.003197836
27-01-2015,442.257843,444.1399841,436.1160583,440.3509216,418.530304,8279250,,,65.20240879,2.971832275,8.023925781,-0.00777731,0.002424186,8.023925781,,74264726,0.04602643,0.004602643
28-01-2015,438.8897705,450.628479,438.8897705,449.1673279,426.90979,8906082,,,65.12228767,-1.461151123,11.7387085,0.075711206,0.020021319,11.7387085,,78579480,0.074456503,0.00744565
29-01-2015,449.2911682,462.8625183,449.1921082,460.3364563,437.5254822,16668291,,,73.72996425,0.123840332,13.67041016,0.871562714,0.024866298,13.67041016,,89995884,0.109048288,0.010904829
30-01-2015,460.633667,461.2527771,450.2322388,453.3279114,430.8641968,10036145,,,65.26813702,0.297210693,11.02053833,-0.397889982,-0.015224831,11.02053833,,92220182,0.058731499,0.00587315
02-02-2015,453.7241516,455.631073,448.5977478,449.7617188,427.4747314,8908197,,,66.29976662,0.396240234,7.033325195,-0.112388572,-0.007866695,7.033325195,,92296674,0.044558782,0.004455878
03-02-2015,452.3125305,466.0077209,452.3125305,464.3979797,441.3857727,7888109,,,73.66575623,2.550811768,13.69519043,-0.114511163,0.032542256,13.69519043,,94028393,0.065660314,0.006566031
04-02-2015,465.1409302,467.4688721,458.6029053,460.0392761,437.243042,6494638,,,73.44492659,0.742950439,8.865966797,-0.176654633,-0.009385708,8.865966797,,94356784,0.029673089,0.002967309
05-02-2015,463.6054688,465.5371704,454.4918823,457.5132446,434.8421631,5706742,,,66.89402537,3.566192627,11.04528809,-0.121314845,-0.005490904,11.04528809,,92179126,0.020084998,0.0020085
06-02-2015,457.7113647,460.633667,447.2604065,450.678009,428.3456421,4174655,,,60.90613316,0.198120117,13.3732605,-0.268469645,-0.014939973,13.3732605,,85406254,0.030510304,0.00305103
09-02-2015,446.368866,454.6900024,441.8120728,444.1399841,422.1316528,4079516,,,54.54545455,-4.309143066,12.87792969,-0.022789668,-0.014507087,12.87792969,,81141625,0.01243886,0.001243886
10-02-2015,444.783905,448.0033875,426.6062012,436.8590088,415.2114258,6299938,,,44.11517173,0.643920898,21.39718628,0.544285646,-0.016393425,21.39718628,,79162313,-0.00637875,-0.000637875
11-02-2015,438.8402405,448.1271973,437.3543091,446.1212158,424.0146179,4513933,,,48.43952128,1.981231689,10.77288818,-0.283495647,0.021201822,10.77288818,,74770164,-0.005198247,-0.000519825
12-02-2015,449.7369385,452.684021,439.4593506,450.3065491,427.9926147,4019490,,,57.08310396,3.615722656,13.22467041,-0.109537071,0.009381605,13.22467041,14.37882147,62121363,-0.020682939,-0.002068294
13-02-2015,452.7087708,456.0768433,450.257019,454.4423523,431.9234314,3412182,,,58.29268887,2.40222168,5.819824219,-0.15109081,0.009184417,5.819824219,14.64600609,55497400,0.00372631,0.000372631
16-02-2015,455.0367126,457.7608948,445.7745056,447.1613464,425.0032654,5661079,,,53.48895237,0.594360352,11.98638916,0.659078853,-0.016021847,11.98638916,14.70744394,52250282,-0.004428842,-0.000442884
18-02-2015,445.7745056,449.7369385,443.0007935,446.5917664,424.461853,4538867,,,48.5587721,-1.38684082,6.73614502,-0.198232881,-0.001273769,6.73614502,14.70798839,48901040,-0.038244867,-0.003824487
19-02-2015,449.2168579,449.5388184,439.6079712,446.7898865,424.6502075,4407617,,,41.35862409,2.625091553,9.930847168,-0.028916908,0.000443627,9.930847168,13.88185541,46814019,-0.028415532,-0.002841553
